Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Veginity,"6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117783348/veginity,3.0,-1,Sport,5.11c,1,60,38.13843,-80.90748
"Two Eggs and Two Martinis","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/120725144/two-eggs-and-two-martinis,2.5,-1,Sport,5.10c,1,60,38.14295,-80.91755
"Being Dani Andrada","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/122468767/being-dani-andrada,3.0,-1,Sport,5.11-,1,90,38.14319,-80.91967
"Assembly Line","6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113660967/assembly-line,3.0,-1,Sport,5.11d,1,60,38.13843,-80.90748
Ein,"2. Shaved Box Canyon > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113109532/ein,3.0,-1,Sport,5.11d,1,50,38.14324,-80.91788
"Pet Czech Boys","5. Fourth Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111926568/pet-czech-boys,2.8,-1,Sport,5.11a,1,60,38.14527,-80.90998
Transfat,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/119957277/transfat,2.4,-1,Sport,5.10,1,60,38.14295,-80.91755
"Girl in the Hornet's Nest","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117829051/girl-in-the-hornets-nest,2.5,-1,Sport,5.10b,1,,38.14295,-80.91755
"Didya Get Any Onya?","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117650772/didya-get-any-onya,2.5,-1,Sport,5.11b,1,60,38.14399,-80.92018
Andoullie,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109506026/andoullie,1.9,-1,Sport,5.11c,1,40,38.14319,-80.91967
Studentessa,"0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113088063/studentessa,1.7,-1,Sport,5.10b,1,60,38.14399,-80.92018
"Body Count","6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113660943/body-count,2.5,-1,Sport,5.11a,1,35,38.13843,-80.90748
"Baron Von Saurkrauten","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111011409/baron-von-saurkrauten,2.2,-1,Sport,5.11a,1,60,38.14336,-80.91556
Kimba,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/120428097/kimba,2.4,-1,Sport,5.10a,1,60,38.14295,-80.91755
"Dirty Love","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117739633/dirty-love,2.3,-1,Sport,5.10c,1,60,38.14399,-80.92018
"Unnamed Left 2","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117519481/unnamed-left-2,1.8,-1,Sport,5.9,1,45,38.14295,-80.91755
"Kenny Said So","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/121128360/kenny-said-so,2.5,-1,Trad,5.7+,1,80,38.14295,-80.91755
Minimax,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112800200/minimax,1.8,-1,Sport,5.10b,1,35,38.14336,-80.91556
"Forrest Dump","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111148362/forrest-dump,2.3,-1,Sport,5.10c,1,50,38.14336,-80.91556
Flash-Bang,"6. Cambodia > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111892591/flash-bang,2.2,-1,Sport,5.11d,1,50,38.13843,-80.90748
Zombia,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/121529489/zombia,2.3,-1,Sport,5.10a,1,60,38.14295,-80.91755
Unload,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117519457/unload,1.7,-1,Sport,5.9,1,45,38.14295,-80.91755
"Spaghetti Blues","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/120031220/spaghetti-blues,1.9,-1,Sport,5.11b,1,60,38.14295,-80.91755
"Flying Turkey","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112813870/flying-turkey,2.0,-1,Trad,5.8,1,60,38.14336,-80.91556
"Where's Rudaw?","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117739666/wheres-rudaw,2.0,-1,Trad,5.9,1,60,38.14399,-80.92018
Kosmology,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/110584518/kosmology,1.6,-1,Sport,5.10+,1,90,38.14336,-80.91556
