Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Punny People","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119292239/punny-people,2.0,-1,Trad,5.10b,1,117,37.7165,-119.6363
"Pilgrimage (New North Face)","Mecca > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110572077/pilgrimage-new-north-face,2.0,-1,Trad,5.11b,3,430,37.71932,-119.64339
"Apron Jacked","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112200482/apron-jacked,2.0,-1,Trad,5.11d,1,,37.7337,-119.56956
"Freezer Burn","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113932189/freezer-burn,2.0,-1,Trad,5.11c/d,1,,37.7337,-119.56956
"Garden's Edge","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112200859/gardens-edge,2.0,-1,Trad,5.10c,1,,37.7337,-119.56956
"The Sceptor","N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110466465/the-sceptor,2.0,-1,Trad,5.11a,1,135,37.72639,-119.60144
"Afterburner Variation","Upper Tier > K.  Public Sanitation Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110263341/afterburner-variation,2.0,-1,Sport,5.11d,1,80,37.73908,-119.58843
Exodus,"6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109561856/exodus,2.0,-1,Trad,"5.10b PG13",4,500,37.7165,-119.6363
Deuceldike,"3. Southwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110383065/deuceldike,1.8,-1,Trad,"5.9- R",5,,37.73971,-119.54003
"Tears of Joy","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107796789/tears-of-joy,1.8,-1,Trad,5.10a,1,170,37.7165,-119.6363
