Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Infa-Goose,"Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/114286271/infa-goose,1.4,-1,Sport,5.10b/c,1,60,39.97207,-105.46336
"Rock Lobster","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951371/rock-lobster,1.3,-1,Trad,5.10a,1,65,39.9726,-105.4648
"Percocet Arete","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868207/percocet-arete,0.9,-1,Sport,5.10,1,40,39.9726,-105.4648
"King Of The Highway","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868196/king-of-the-highway,1.0,-1,Sport,5.11b,1,40,39.9726,-105.4648
"Winner Winner","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121042481/winner-winner,1.0,-1,Trad,5.8+,1,50,39.97234,-105.4631
"Forbidden Fruit","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757318/forbidden-fruit,1.0,-1,Trad,5.10,1,30,39.9726,-105.4648
"Surprise, Surprise","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121257752/surprise-surprise,1.0,-1,"Trad, TR",5.8+,1,70,39.97304,-105.46352
"Pump Dipper","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119611481/pump-dipper,1.0,-1,Sport,5.11-,1,45,39.97207,-105.46336
"Knocking on Heaven's Door","Forbidden Fruit Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111874011/knocking-on-heavens-door,1.0,-1,Sport,5.11c,1,40,39.9726,-105.4648
"Right-facing Dihedral","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108417193/right-facing-dihedral,1.0,-1,Trad,5.9,1,,39.9726,-105.4648
