Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"How 'Bout 'Em Apples","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106773476/how-bout-em-apples,2.3,-1,Sport,5.10d,1,40,38.2418,-80.84524
"That Nine","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113005752/that-nine,2.2,-1,Sport,5.9,1,40,38.24193,-80.84067
"Clown School","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106758490/clown-school,2.5,-1,Sport,5.10a,1,50,38.24291,-80.8361
"Smilin' Jack","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106519009/smilin-jack,2.7,-1,Sport,5.11c,1,80,38.24193,-80.84067
Spice,"The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106461151/spice,2.3,-1,Sport,5.11b,1,60,38.24137,-80.84379
"Climb On","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106092113/climb-on,2.5,-1,Sport,5.9,1,40,38.24156,-80.84428
"Tequila Maria","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386782/tequila-maria,2.5,-1,Sport,5.10c,1,80,38.24161,-80.8422
"In the Line of Fire","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106789227/in-the-line-of-fire,2.4,-1,Sport,5.10d,1,35,38.2418,-80.84524
Locumba,"Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/115171615/locumba,2.4,-1,Sport,5.9+,1,45,38.24193,-80.84067
"Sudetica Verticalia","Gun Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106602639/sudetica-verticalia,1.6,-1,Sport,5.10a,1,40,38.2418,-80.84524
"Unnamed SL  7","Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106386687/unnamed-sl-7,3.2,-1,Trad,5.10a,1,60,38.2427,-80.8485
"Momia Peruana","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/117735719/momia-peruana,2.0,-1,Sport,5.10a,1,60,38.2422,-80.83949
"Calico Jack","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106758428/calico-jack,2.6,-1,Sport,5.11a,1,40,38.24291,-80.8361
"Fifty Fifty","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106919137/fifty-fifty,2.1,-1,Sport,5.11b,1,60,38.24137,-80.84379
"Simple Minds","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108836822/simple-minds,2.3,-1,Sport,5.11d,1,40,38.24193,-80.84067
